date,calories_burned,steps,distance,minutes_sedentary,minutes_lightly_active,minutes_fairly_active,minutes_very_active,activity_calories,sleep_start_hour,sleep_end_hour,minutes_asleep,minutes_awake,number_of_awakenings,time_in_bed,day_of_week
2017-10-04,2639,20865,9.41,641,164,35,115,1553,9,6,490,44,1,534,Wednesday
2017-10-05,2814,23538,11.17,599,168,42,108,1736,10,6,481,23,2,506,Thursday
2017-10-06,2127,12444,5.19,652,149,24,67,976,9,8,606,33,2,642,Friday
2017-10-07,1926,7797,3.25,527,187,19,29,773,8,5,462,37,2,499,Saturday
2017-10-08,3464,34275,16.67,678,183,19,176,2441,10,6,428,44,2,472,Sunday
2017-10-09,1945,8877,3.7,727,151,23,32,755,10,7,511,31,2,545,Monday
2017-10-10,2075,11651,4.86,631,129,35,61,911,9,5,475,31,1,506,Tuesday
2017-10-11,2563,19955,8.87,716,175,27,104,1471,10,7,475,26,2,512,Wednesday
2017-10-12,2707,22056,10.47,632,138,43,107,1608,10,7,491,27,2,518,Thursday
2017-10-13,1962,9294,3.88,655,164,19,30,784,9,5,464,18,2,486,Friday
2017-10-14,4087,44391,22.7,568,131,41,253,3121,10,7,527,40,1,567,Saturday
2017-10-15,2444,18287,7.62,539,198,18,112,1384,10,7,508,30,2,539,Sunday
2017-10-16,1977,9383,3.91,716,169,26,30,811,11,7,460,23,3,483,Monday
2017-10-17,2079,11853,4.94,632,163,31,39,925,9,5,487,19,2,507,Tuesday
2017-10-18,2333,15846,7.25,742,155,12,62,1171,10,6,468,21,1,490,Wednesday
2017-10-19,2657,21079,9.89,706,169,39,96,1567,11,7,480,15,3,499,Thursday
2017-10-20,2063,11119,4.64,521,182,29,39,928,8,5,545,30,2,575,Friday
2017-10-21,3391,32485,16.48,585,146,32,175,2353,9,7,556,25,1,583,Saturday
2017-10-22,2204,13222,5.51,590,248,15,34,1110,10,7,523,41,4,564,Sunday
2017-10-23,1957,9621,4.01,648,151,33,26,785,9,7,538,17,2,557,Monday
2017-10-24,2085,11726,4.89,650,151,27,59,935,9,6,468,26,2,494,Tuesday
2017-10-25,2109,12391,5.7,812,127,9,50,930,10,7,472,38,5,517,Wednesday
2017-10-26,2737,22212,10.49,616,193,25,100,1666,10,7,505,18,1,523,Thursday
2017-10-27,1920,8818,3.68,629,165,11,22,736,9,6,491,36,3,527,Friday
2017-10-28,2802,23009,11.34,630,145,15,126,1700,9,6,485,58,4,543,Saturday
2017-10-29,2081,10172,4.24,582,275,17,23,1009,9,6,527,44,3,571,Sunday
2017-10-30,1970,9918,4.14,658,151,22,35,801,9,6,536,38,3,575,Monday
2017-10-31,2330,15415,7.08,691,149,32,75,1193,10,7,478,50,5,528,Tuesday
2017-11-01,1885,8130,3.39,696,151,13,22,687,10,7,516,29,3,545,Wednesday
2017-11-02,2492,18638,8.33,639,187,32,83,1400,10,7,475,39,2,514,Thursday
2017-11-03,2066,10769,4.49,622,228,11,22,938,10,7,535,44,4,581,Friday
2017-11-04,1860,6561,3.11,611,158,3,24,667,9,4,448,20,2,468,Saturday
2017-11-05,5134,60681,31.08,519,165,26,348,4217,10,6,391,54,3,445,Sunday
2017-11-06,1943,9240,3.85,760,146,17,39,762,10,6,488,42,3,530,Monday
2017-11-07,2123,12583,5.25,752,174,23,43,975,11,5,369,18,2,387,Tuesday
2017-11-08,2324,16342,7.14,667,152,25,83,1201,9,6,497,45,3,542,Wednesday
2017-11-09,2311,14637,6.1,673,299,16,48,1281,11,4,294,13,1,307,Thursday
2017-11-10,2194,13061,5.45,772,219,18,49,1076,10,7,521,42,3,563,Friday
2017-11-11,2084,11142,4.65,667,232,13,18,951,11,7,461,31,3,492,Saturday
2017-11-12,2037,10971,4.57,768,213,5,9,875,12,7,416,28,1,444,Sunday
2017-11-13,1823,6442,2.69,669,172,5,8,620,9,7,527,35,1,562,Monday
2017-11-14,1931,7885,3.29,785,227,6,2,768,1,7,363,38,2,401,Tuesday
2017-11-15,2301,14111,5.88,690,287,29,33,1241,12,8,448,38,1,486,Wednesday
2017-11-16,1791,6164,2.57,782,172,0,0,575,11,6,349,14,1,369,Thursday
2017-11-17,1932,7910,3.3,701,233,12,1,785,12,8,445,43,2,488,Friday
2017-11-18,2009,9882,4.12,766,195,20,24,855,10,8,570,34,3,604,Saturday
2017-11-19,2247,13197,6.15,582,204,9,43,1115,10,7,500,27,3,528,Sunday
2017-11-20,1968,9600,4,681,172,12,20,786,10,7,551,24,2,575,Monday
2017-11-21,1935,9013,3.76,726,149,15,25,734,11,7,417,65,4,482,Tuesday
2017-11-22,1880,7366,3.07,700,183,9,8,669,10,6,446,58,3,504,Wednesday
2017-11-23,2123,10509,5.02,734,174,8,48,958,10,7,529,30,1,559,Thursday
2017-11-24,1716,4916,2.05,738,147,0,0,485,10,9,600,33,2,633,Friday
2017-11-25,1953,8239,3.44,609,224,5,10,805,11,8,525,30,1,555,Saturday
2017-11-26,1609,2655,1.11,568,139,0,0,376,9,7,562,26,3,591,Sunday
2017-11-27,1982,9825,4.1,642,144,36,37,817,10,6,501,25,0,527,Monday
2017-11-28,1863,7656,3.19,706,143,11,24,653,9,5,478,26,1,504,Tuesday
2017-11-29,2418,16788,7.54,624,212,15,62,1315,9,5,513,12,1,527,Wednesday
2017-11-30,2286,14306,6,607,233,24,56,1201,9,7,575,31,2,606,Thursday
2017-12-01,2031,10417,4.34,781,166,10,39,846,11,8,522,21,1,543,Friday
2017-12-02,1538,2018,0.84,724,75,0,0,232,12,10,588,14,1,602,Saturday
2017-12-03,2087,11491,4.79,629,150,16,59,920,10,7,478,28,1,506,Sunday
2017-12-04,1991,9810,4.09,698,169,15,30,809,10,7,536,32,1,568,Monday
2017-12-05,1938,8490,3.54,630,188,7,12,751,9,6,457,48,3,510,Tuesday
2017-12-06,2472,18161,8.1,632,139,29,107,1351,9,7,593,23,4,640,Wednesday
2017-12-07,1948,8957,3.73,630,163,14,14,735,9,7,547,37,2,584,Thursday
2017-12-08,1989,9815,4.09,812,130,22,34,768,9,7,557,30,2,589,Friday
2017-12-09,1726,5131,2.14,1195,126,4,12,487,10,8,567,24,2,591,Saturday
2017-12-10,2189,13154,5.48,629,181,10,60,1045,10,6,457,21,1,478,Sunday
2017-12-11,2080,11056,4.61,678,170,28,44,925,10,7,541,29,1,570,Monday
2017-12-12,1957,9071,3.78,748,185,3,7,749,11,5,372,21,2,393,Tuesday
2017-12-13,2695,21738,10,634,149,33,114,1591,9,8,588,52,3,641,Wednesday
2017-12-14,1895,7884,3.29,699,140,13,32,682,10,7,527,24,2,551,Thursday
2017-12-15,1842,7402,3.09,715,119,15,25,609,10,7,489,24,1,517,Friday
2017-12-16,2643,18835,9.17,695,219,10,89,1556,12,8,443,26,1,469,Saturday
2017-12-17,2029,10458,4.36,606,147,9,49,841,9,7,571,55,4,626,Sunday
2017-12-18,2374,10977,4.58,593,189,12,68,1245,10,7,524,37,4,562,Monday
2017-12-19,2342,12291,5.12,582,157,24,80,1210,9,5,478,26,1,506,Tuesday
2017-12-20,2391,16567,7.64,740,140,26,76,1234,10,7,495,29,4,535,Wednesday
